Ações por Índice
Dados de 1 a 4 de 2024
Empresa;Código;Índices dos quais participa
EVEN;ON   NM;EVEN3;IBRA,ICON,IDIV,IDVR,IGCT,IGCX,IGNM,IMOB,ITAG,SMLL;
EXELON CORP;DRN;E1XC34;BDRX;
EXXON MOBIL;DRN;EXXO34;BDRX;
EZTEC;ON   NM;EZTC3;IBOV,IBRA,IBXX,ICO2,ICON,IGCT,IGCX,IGNM,IMOB,INDX,ITAG,SMLL;
FER HERINGER;ON   NM;FHER3;IGCX,IGNM,ITAG;
FERBASA;PN   N1;FESA4;IBRA,IDIV,IDVR,IGCT,IGCX,IMAT,SMLL;
FII AFHI CRI;CI;AFHI11;IFIL,IFIX;
FII ALIANZA;CI;ALZR11;IFIL,IFIX;
FII ARCTIUM;CI;RZAT11;IFIX;
FII ATRIO;CI;ARRI11;IFIX;
FII AUTONOMY;CI;AIEC11;IFIX;
FII BARIGUI;CI;BARI11;IFIX;
FII BC FFII;CI;BCFF11;IFIL,IFIX;
FII BC FUND;CI;BRCR11;IFIL,IFIX;
FII BCIA;CI;BCIA11;IFIX;
FII BEES CRI;CI;BCRI11;IFIX;
FII BLUE LOG;CI;BLMG11;IFIX;
FII BRESCO;CI;BRCO11;IFIL,IFIX;
FII BROF;CI;BROF11;IFIL,IFIX;
FII BTG AGRO;CI;BTAL11;IFIL,IFIX;
FII BTG CRI;CI;BTCI11;IFIL,IFIX;
FII BTG TAGR;CI;BTRA11;IFIX;
FII BTLG;CI;BTLG11;IFIL,IFIX;
FII CAPI SEC;CI;CPTS11;IFIL,IFIX;
FII CSHG CRI;CI;HGCR11;IFIL,IFIX;
FII CSHG FOF;CI;HGFF11;IFIL,IFIX;
FII CSHG LOG;CI;HGLG11;IFIL,IFIX;
FII CSHG URB;CI;HGRU11;IFIL,IFIX;
FII CSHGPRIM;CI;HGPO11;IFIX;
FII CYRELA;CI;CYCR11;IFIX;
FII DEVANT;CI;DEVA11;IFIL,IFIX;
FII FATOR VE;CI;VRTA11;IFIL,IFIX;
FII G TOWERS;CI;GTWR11;IFIL,IFIX;
FII GGRCOVEP;CI;GGRC11;IFIL,IFIX;
FII GUARDIAN;CI;GARE11;IFIL,IFIX;
FII HABIT II;CI;HABT11;IFIL,IFIX;
FII HECTARE;CI;HCTR11;IFIL,IFIX;
FII HEDGEBS;CI;HGBS11;IFIL,IFIX;
FII HG REAL;CI;HGRE11;IFIL,IFIX;
FII HOTEL MX;CI;HTMX11;IFIX;
FII HSI CRI;CI;HSAF11;IFIX;
FII HSI LOG;CI;HSLG11;IFIL,IFIX;
FII HSI MALL;CI;HSML11;IFIL,IFIX;
FII HTOPFOF3;CI;HFOF11;IFIL,IFIX;
FII IRIDIUM;CI;IRDM11;IFIL,IFIX;
FII JS A FIN;CI;JSAF11;IFIX;
FII JS REAL;CI;JSRE11;IFIL,IFIX;
FII KILIMA;CI;KISU11;IFIL,IFIX;
FII KINEA;CI;KNRI11;IFIL,IFIX;
FII KINEA CR;CI;KCRE11;IFIX;
FII KINEA HY;CI;KNHY11;IFIL,IFIX;
FII KINEA IP;CI;KNIP11;IFIL,IFIX;
FII KINEA RI;CI;KNCR11;IFIL,IFIX;
FII KINEA SC;CI;KNSC11;IFIL,IFIX;
FII KINEAFOF;CI;KFOF11;IFIL,IFIX;
FII LGCP INT;CI;LGCP11;IFIX;
FII MALLS BP;CI;MALL11;IFIL,IFIX;
FII MAUA;CI;MCCI11;IFIL,IFIX;
FII MAXI REN;CI;MXRF11;IFIL,IFIX;
FII MERITO I;CI;MFII11;IFIX;
FII OURI JPP;CI;OUJP11;IFIX;
FII PATR LOG;CI;PATL11;IFIX;
FII PLURAL R;CI;PLCR11;IFIX;
FII POLO CRI;CI;PORD11;IFIX;
FII RBR LOG;CI;RBRL11;IFIX;
FII RBR MULT;CI;RBRX11;IFIX;
FII RBR PCRI;CI;RBRY11;IFIL,IFIX;
FII RBR PROP;CI;RBRP11;IFIL,IFIX;
FII RBRALPHA;CI;RBRF11;IFIL,IFIX;
FII RBRHGRAD;CI;RBRR11;IFIL,IFIX;
FII REC RECE;CI;RECR11;IFIL,IFIX;
FII REC REND;CI;RECT11;IFIX;
FII RIOB FF;CI;RBFF11;IFIX;
FII RIOB RC;CI;RCRB11;IFIX;
FII RIOB VA;CI;RBVA11;IFIL,IFIX;
FII RIZA AKN;CI;RZAK11;IFIL,IFIX;
FII RIZA TX;CI;RZTR11;IFIL,IFIX;
FII SANT PAP;CI;SADI11;IFIX;
FII SANT REN;CI;SARE11;IFIL,IFIX;
FII SDI LOG;CI;TRBL11;IFIX;
FII SPX SYN;CI;SPXS11;IFIX;
FII SUNO CRI;CI;SNCI11;IFIX;
FII SUNOFOFI;CI;SNFF11;IFIX;
FII TEL PROP;CI;TEPP11;IFIX;
FII TG ATIVO;CI;TGAR11;IFIL,IFIX;
FII TIVIO RI;CI;TVRI11;IFIL,IFIX;
FII TORDE EI;CI;TORD11;IFIX;
FII TRX REAL;CI;TRXF11;IFIL,IFIX;
FII URCA REN;CI;URPR11;IFIL,IFIX;
FII VALOR HE;CI;VGHF11;IFIL,IFIX;
FII VALORAIP;CI;VGIP11;IFIL,IFIX;
FII VALREIII;CI;VGIR11;IFIL,IFIX;
FII VBI CRI;CI;CVBI11;IFIL,IFIX;
FII VBI LOG;CI;LVBI11;IFIL,IFIX;
FII VBI PRI;CI;PVBI11;IFIL,IFIX;
FII VECTIS;CI;VCJR11;IFIL,IFIX;
FII VERS CRI;CI;VSLH11;IFIX;
FII VINCI CR;CI;VCRI11;IFIX;
FII VINCI IU;CI;VIUR11;IFIX;
FII VINCI LG;CI;VILG11;IFIL,IFIX;
FII VINCI OF;CI;VINO11;IFIL,IFIX;
FII VINCI SC;CI;VISC11;IFIL,IFIX;
FII WHG REAL;CI;WHGR11;IFIX;
FII XP CRED;CI;XPCI11;IFIL,IFIX;
FII XP INDL;CI;XPIN11;IFIX;
FII XP LOG;CI;XPLG11;IFIL,IFIX;
FII XP MALLS;CI;XPML11;IFIL,IFIX;
FII XP PROP;CI;XPPR11;IFIX;
FII XP SELEC;CI;XPSF11;IFIX;
FIRST SOLAR;DRN;FSLR34;BDRX;
FLEURY;ON   NM;FLRY3;IBOV,IBRA,IBXX,ICO2,ICON,IDIV,IDVR,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL;
FORD MOTORS;DRN;FDMO34;BDRX;
FRAS-LE;ON   N1;FRAS3;IBRA,IGCT,IGCX,SMLL;
FREEPORT;DRN;FCXO34;BDRX;
